OID_,OBJECTID,RIBI_ID,ACFL,AMBI,ABDU,AMCR,AMGO,AGWT,AMKE,AMOY,AMRE,AMRO,AMWO,BANS,BARS,BAOW,BEKI,BLBW,BAWW,BBCU,BCCH,BCNH,BTNW,BLJA,BGGN,BWTE,BWWA,BOBO,BWHA,BRCR,BRTH,BHCO,CAGO,CAWA,CARW,CAEG,CEDW,CERW,CSWA,CHSW,CHSP,CLRA,CLSW,COBO,COGR,COMO,CONI,COTE,COYE,COHA,DCCO,DOWO,EABL,EAKI,EAME,EAPH,EASO,ETTI,EAWP,EUST,FISP,FICR,GADW,GLIB,GCKI,GRSP,GRCA,GBBG,GTBH,GREG,GHOW,GCFL,GNBH,HAWO,HETH,HERG,HOME,HOWA,HOLA,HOFI,HOSP,HOWR,INBU,KILL_,KIRA,LEBI,LEFL,LETE,LBHE,LEOW,LOWA,MAWA,MALL,MAWR,MOPA,MODO,MUSW,MYWA,NAWA,NOBO,NOCA,NOGO,NOHA,NOMO,NOOR,NOPA,NSWO,NOWA,OROR,OSPR,OVEN,PIWO,PIWA,PIPL,PRAW,PUFI,PUMA,RBWO,RBNU,REVI,RSHA,RTHA,RWBL,RNPH,RODO,ROST,RBGR,NRWS,RTHU,RUGR,RSTO,SAVS,SCTA,SESP,SSHA,STSP,SNEG,SOVI,SOSP,SORA,SPSA,SWSP,TRES,TUVU,UDEJ,UPSA,VEER,VESP,VIRA,WAVI,WPWI,WBNU,WEVI,WTSP,WITU,WILL,WIFL,WIWR,WODU,WOTH,WEWA,YWAR,YBCU,YBCH,YRWA,YSFL,YTVI,YCNH,BTBW,PROW,PBGR,TTLC,TTLR,TTLP,TOTSPP
134,135,138,X,X,R,P,R,X,C,X,C,C,P,X,P,X,X,X,P,X,P,X,X,X,X,X,X,X,X,X,P,P,P,X,P,X,R,X,X,R,X,X,X,X,C,X,X,X,C,X,X,X,X,P,X,X,X,X,X,C,X,X,X,X,X,X,R,X,X,X,X,P,R,X,X,X,X,X,X,C,X,R,X,P,X,X,X,X,X,X,X,X,X,X,X,R,R,X,X,X,P,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,C,X,P,X,X,R,X,X,R,X,X,X,X,X,X,X,C,X,X,X,P,X,X,X,P,X,X,X,X,X,P,X,X,X,R,X,X,P,X,C,X,X,X,P,X,X,X,X,X,10,12,20,42
135,136,137,X,X,X,C,R,X,C,X,P,C,C,X,C,R,X,X,C,R,C,X,X,C,P,X,R,R,X,X,R,P,X,P,R,X,X,X,R,R,R,X,X,X,C,X,X,X,R,X,X,P,X,R,P,P,X,C,R,C,C,X,X,X,X,X,R,X,X,X,C,R,X,X,P,X,X,X,X,C,C,C,X,R,X,X,X,R,X,X,X,X,X,X,X,R,C,X,X,R,R,X,X,C,C,X,X,X,R,C,P,X,X,X,P,P,X,X,X,R,X,C,C,X,C,X,R,X,P,X,R,X,X,P,X,C,X,X,C,X,X,X,P,X,X,X,R,X,X,X,X,R,C,X,X,X,R,X,X,C,X,C,R,X,X,C,X,X,X,X,X,29,28,14,71
136,137,136,X,X,X,P,P,X,P,X,P,C,X,X,P,X,C,X,R,P,R,X,X,C,X,X,P,X,C,C,P,R,C,C,P,X,R,X,R,P,P,X,X,X,C,X,X,X,R,X,X,P,X,C,P,X,X,C,R,C,R,X,X,X,X,X,C,X,X,X,X,C,P,X,X,X,X,R,X,C,P,P,X,X,X,X,X,X,X,X,X,X,X,X,X,R,X,X,X,P,R,X,X,R,R,X,X,P,X,X,R,X,X,X,R,X,X,X,X,P,X,X,R,X,C,X,R,X,X,C,R,X,P,X,X,X,X,X,C,X,X,X,P,X,X,X,R,X,X,X,X,P,P,X,X,X,X,X,X,R,X,R,C,X,X,C,X,X,X,X,X,19,21,23,63
137,138,135,C,X,R,R,R,X,R,X,R,C,X,C,R,R,C,X,R,R,C,X,X,C,P,X,R,X,R,P,R,R,C,P,P,X,R,X,R,P,R,X,X,X,C,X,X,X,R,X,X,P,C,C,X,R,X,R,C,C,C,X,X,X,X,X,C,X,X,X,R,C,P,R,P,X,X,P,X,R,R,C,P,R,X,P,P,X,X,X,X,X,R,C,X,R,R,X,R,R,R,X,X,R,C,C,X,P,X,C,R,X,C,X,R,X,C,X,X,R,X,P,C,X,R,X,P,P,C,P,R,X,P,X,X,X,X,X,C,X,P,C,C,X,X,X,R,X,P,P,P,R,X,P,X,X,X,X,C,R,X,C,R,X,X,R,X,X,X,C,X,30,41,23,94
138,139,134,X,X,X,C,P,X,P,X,R,C,X,X,C,X,R,X,R,R,R,X,P,R,X,X,R,X,P,X,X,R,X,X,P,X,P,X,X,P,C,X,X,X,C,X,X,X,R,X,X,C,X,C,X,C,X,R,R,C,R,X,X,X,X,X,C,X,X,X,X,R,X,R,P,X,X,X,X,C,C,R,X,X,X,X,X,X,X,X,X,X,P,X,X,R,X,X,X,R,R,X,X,C,C,X,X,P,P,X,R,X,P,X,R,P,C,X,X,R,X,R,R,X,R,X,P,C,X,X,C,X,R,X,X,X,X,X,R,X,X,P,P,X,X,X,R,X,X,R,X,R,P,X,C,X,X,X,P,R,X,R,P,X,X,C,R,X,X,X,X,19,32,19,70
139,140,133,X,X,X,C,P,X,X,X,R,C,P,X,R,X,X,X,R,R,C,X,X,R,P,X,R,X,X,P,R,R,X,X,R,X,R,X,X,P,R,X,X,X,C,X,X,X,R,X,X,P,X,R,X,C,X,C,R,C,P,X,X,X,X,X,C,X,X,X,X,R,P,P,R,X,X,X,X,R,C,R,C,X,X,X,X,X,X,X,X,X,C,X,X,R,X,X,C,P,R,X,X,R,C,X,X,X,X,X,C,X,R,X,R,X,C,X,X,C,P,R,R,X,X,X,P,R,C,X,R,X,R,X,X,X,X,X,R,X,P,P,P,X,X,X,C,R,X,P,P,P,P,X,X,X,X,X,R,C,X,R,P,X,X,R,R,X,X,X,X,19,34,20,73
140,141,132,X,X,P,C,R,X,C,X,C,C,R,X,R,R,P,X,R,R,C,X,X,C,X,X,C,X,P,P,R,P,X,P,C,X,R,X,R,R,C,X,X,X,C,X,X,X,C,P,X,R,C,R,P,C,R,C,R,C,P,X,X,X,X,X,C,X,X,X,X,R,P,R,X,X,X,C,X,C,C,C,P,R,X,X,X,X,X,X,X,X,P,X,X,C,X,X,P,R,C,X,X,C,C,X,X,X,X,X,R,X,X,X,R,P,X,X,X,C,X,R,C,X,X,X,R,C,X,X,R,X,R,X,X,X,X,X,C,X,X,P,X,X,X,X,R,X,X,X,X,C,R,X,X,X,P,X,P,C,X,C,R,X,X,R,X,X,X,X,X,31,28,17,76
141,142,142,X,X,X,P,X,X,P,X,X,R,R,X,R,X,X,X,X,X,P,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,P,X,X,P,X,X,X,X,X,P,X,X,R,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,P,X,X,X,C,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,P,X,X,X,X,X,X,P,P,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,1,4,17,22
142,143,143,X,X,R,R,P,X,X,X,X,P,X,P,C,P,P,X,P,X,P,X,X,P,C,X,R,X,X,X,P,P,R,X,X,X,P,X,X,P,C,X,X,X,C,X,X,X,P,X,X,C,X,C,X,X,X,R,X,C,X,X,X,X,X,X,R,X,X,X,X,P,P,X,X,X,X,X,X,P,R,P,X,P,X,X,X,X,X,X,X,X,R,P,X,R,P,X,X,P,P,X,X,P,C,X,X,P,X,C,P,X,X,X,X,X,P,X,X,P,X,X,R,X,C,X,P,R,X,X,P,X,P,X,X,X,X,X,R,X,R,R,P,X,X,X,R,X,P,X,P,X,X,X,X,X,R,X,R,C,X,P,P,X,X,R,X,X,X,X,X,11,18,35,64
143,144,144,R,X,X,P,R,X,X,X,R,R,R,P,R,R,R,X,R,R,R,X,R,R,R,X,R,X,P,X,R,R,X,R,R,X,R,X,R,R,R,X,X,X,C,X,X,X,R,X,X,C,X,C,X,C,X,R,R,C,R,X,X,X,R,X,C,X,X,X,R,R,R,C,R,X,X,X,X,P,R,R,X,X,X,X,R,X,X,X,R,X,R,X,X,R,X,X,P,P,R,X,X,P,C,R,R,P,C,X,C,X,R,X,R,P,C,X,P,R,X,R,C,X,X,X,P,C,X,C,C,X,R,X,X,X,X,X,R,X,X,R,R,P,X,X,R,X,X,R,R,R,R,X,X,X,X,X,C,R,R,R,R,X,X,R,R,X,X,X,X,16,60,12,88
