gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1851312533	7b9e97de-f762-11e1-a439-00145eb45e9a	http://id.snsb.info/snsb/collection/180723/213719/154912	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844		DE	Deutschland [Tiergarten]		PRESENT		0674aea0-a7e1-11d8-9534-b8a03c50a862									1987-05-01T00:00:00		5	1987	5219420	5219416	PRESERVED_SPECIMEN	SNSB-SAPM	SAPMmammaliacoll	SAPM-MA-02794 / 213719 / 154912				CC_BY_4_0					2021-01-25T14:06:43.686Z		INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1851312521	7b9e97de-f762-11e1-a439-00145eb45e9a	http://id.snsb.info/snsb/collection/180718/213714/154907	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844		DE	Deutschland [Tiergarten]		PRESENT		0674aea0-a7e1-11d8-9534-b8a03c50a862													5219420	5219416	PRESERVED_SPECIMEN	SNSB-SAPM	SAPMmammaliacoll	SAPM-MA-02789 / 213714 / 154907				CC_BY_4_0					2021-01-25T14:06:43.742Z		RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1851312517	7b9e97de-f762-11e1-a439-00145eb45e9a	http://id.snsb.info/snsb/collection/180716/213712/154905	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844		DE	Deutschland [Tiergarten]		PRESENT		0674aea0-a7e1-11d8-9534-b8a03c50a862													5219420	5219416	PRESERVED_SPECIMEN	SNSB-SAPM	SAPMmammaliacoll	SAPM-MA-02787 / 213712 / 154905				CC_BY_4_0					2021-01-25T14:06:43.686Z		RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1851312514	7b9e97de-f762-11e1-a439-00145eb45e9a	http://id.snsb.info/snsb/collection/469663/575990/248617	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844		DE			PRESENT		0674aea0-a7e1-11d8-9534-b8a03c50a862									2008-06-03T00:00:00	3	6	2008	5219420	5219416	PRESERVED_SPECIMEN	SNSB-SAPM	SAPMmammaliacoll	SAPM-MA-03095 / 575990 / 248617				CC_BY_4_0		Institut für Tierpathologie München			2021-01-25T14:06:44.165Z		INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1851312510	7b9e97de-f762-11e1-a439-00145eb45e9a	http://id.snsb.info/snsb/collection/180711/213707/154900	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844		DE			PRESENT		0674aea0-a7e1-11d8-9534-b8a03c50a862													5219420	5219416	PRESERVED_SPECIMEN	SNSB-SAPM	SAPMmammaliacoll	SAPM-MA-02782 / 213707 / 154900				CC_BY_4_0					2021-01-25T14:06:43.722Z		RECORDED_DATE_INVALID;INSTITUTION_MATCH_NONE;COLLECTION_MATCH_NONE
1809982003	44ff990f-945e-4b37-9060-fc7de856b1ea	urn:uuid:508f4557-2ea5-4a1e-828a-5378b8e3622d	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica	Temminck, 1844	SE	Østersund	Jämtland	PRESENT	1	a8144f37-5ff7-4137-9400-94b5b2ea4ec4	63.25	14.75			375.0								5219420	5219416	PRESERVED_SPECIMEN	NTNU-VM	MA	DRY-8259				CC_BY_4_0		NETTERSTRØM, R.			2021-03-07T14:01:40.224Z	StillImage	INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
1804874349	62d82928-dc6f-40dc-85b3-f2be47e7b49a	BE.3281_55082879	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck,1844	Temminck,1844				PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862													5219420	5219416	UNKNOWN	Naturalis	Mammalia	BE.3281				CC0_1_0					2020-12-15T20:47:59.940Z		BASIS_OF_RECORD_INVALID;AMBIGUOUS_INSTITUTION;INSTITUTION_COLLECTION_MISMATCH
1804709035	62d82928-dc6f-40dc-85b3-f2be47e7b49a	BE.0001437_55083052	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica Temminck, 1844	Temminck, 1844				PRESENT		396d5f30-dea9-11db-8ab4-b8a03c50a862													5219420	5219416	UNKNOWN	Naturalis	Mammalia	BE.0001437				CC0_1_0					2020-12-15T20:47:59.657Z		BASIS_OF_RECORD_INVALID;AMBIGUOUS_INSTITUTION;INSTITUTION_COLLECTION_MISMATCH
1804051482	f86a681d-7db8-483b-819a-248def18b70a	2e4cb07b-19b4-9b44-3e98-4ab5775d0440	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica		ZZ	Netherland's Zoo		PRESENT	1	a41250f0-7c3e-11d8-a19c-b8a03c50a862									1989-09-01T00:00:00		9	1989	5219420	5219416	PRESERVED_SPECIMEN	CMN	CMNMA	CMNMA 53846				CC_BY_4_0	Canadian Museum of Nature	Huisman, Pieter H.			2021-02-08T15:58:12.566Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_FUZZY
1656643604	431b19b9-b5b4-4bcb-ae11-072899dd4c52	bbb05b2c-f2f3-4d39-8ef5-e07fab591577	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	altaica	SUBSPECIES	Panthera tigris altaica Temminck, 1844	Panthera tigris altaica					PRESENT		a26fb77a-67a4-4a15-b2c3-0c7b87ddb8e6									1985-06-03T00:00:00	3	6	1985	5219420	5219416	PRESERVED_SPECIMEN	CSULB	Mammals	11889				CC0_1_0		Z, S		NATIVE	2021-01-22T16:59:08.407Z		COLLECTION_MATCH_FUZZY
