gbifID,species,infraspecificEpithet,scientificName,decimalLatitude,decimalLongitude,
2851067569,Panthera tigris,tigris,Panthera tigris tigris,26.090356,76.515538,
2851065313,Panthera tigris,tigris,Panthera tigris tigris,26.106118,76.438572,
2851061552,Panthera tigris,tigris,Panthera tigris tigris,26.006341,76.409438,
2851061400,Panthera tigris,tigris,Panthera tigris tigris,20.328074,79.238543,
2851059565,Panthera tigris,tigris,Panthera tigris tigris,26.070765,76.451785,
2851055808,Panthera tigris,tigris,Panthera tigris tigris,26.12932,76.525395,
2851049949,Panthera tigris,tigris,Panthera tigris tigris,20.368974,79.283022,
2851044775,Panthera tigris,tigris,Panthera tigris tigris,23.687317,81.188332,
2851042784,Panthera tigris,tigris,Panthera tigris tigris,23.672531,81.096047,
2851030823,Panthera tigris,tigris,Panthera tigris tigris,22.29627,80.702958,
2851028653,Panthera tigris,tigris,Panthera tigris tigris,26.167058,76.47786,
2851023001,Panthera tigris,tigris,Panthera tigris tigris,22.11824,79.499418,
2851015001,Panthera tigris,tigris,Panthera tigris tigris,23.698435,81.164605,
2850996996,Panthera tigris,tigris,Panthera tigris tigris,20.291409,79.356892,
2850984197,Panthera tigris,tigris,Panthera tigris tigris,26.03275,76.413131,
2850932199,Panthera tigris,tigris,Panthera tigris tigris,26.153936,76.517305,
2850924397,Panthera tigris,tigris,Panthera tigris tigris,28.42096,80.780172,
2850901408,Panthera tigris,tigris,Panthera tigris tigris,28.237485,80.448009,
2850894898,Panthera tigris,tigris,Panthera tigris tigris,21.616698,79.363084,
2850894891,Panthera tigris,tigris,Panthera tigris tigris,23.631606,80.856465,
2850872352,Panthera tigris,tigris,Panthera tigris tigris,26.106276,76.551426,
2850863813,Panthera tigris,tigris,Panthera tigris tigris,22.338575,80.779123,
2850862780,Panthera tigris,tigris,Panthera tigris tigris,26.084055,76.585311,
2850862644,Panthera tigris,tigris,Panthera tigris tigris,23.696646,80.929207,
2850861016,Panthera tigris,tigris,Panthera tigris tigris,20.301661,79.397688,
2850848128,Panthera tigris,tigris,Panthera tigris tigris,20.364221,79.279692,
2850844936,Panthera tigris,tigris,Panthera tigris tigris,20.229589,79.281171,
2850843887,Panthera tigris,tigris,Panthera tigris tigris,23.796479,80.913917,
2850788487,Panthera tigris,tigris,Panthera tigris tigris,28.253423,80.575301,
2850772806,Panthera tigris,tigris,Panthera tigris tigris,20.282722,79.265882,
2850772141,Panthera tigris,tigris,Panthera tigris tigris,20.318913,79.345333,
2850771788,Panthera tigris,tigris,Panthera tigris tigris,23.750705,80.845143,
2850769977,Panthera tigris,tigris,Panthera tigris tigris,20.331929,79.272192,
2850769806,Panthera tigris,tigris,Panthera tigris tigris,23.630056,81.078279,
2850761152,Panthera tigris,tigris,Panthera tigris tigris,20.332938,79.394142,
2850759654,Panthera tigris,tigris,Panthera tigris tigris,23.77871,80.814519,
2850754482,Panthera tigris,tigris,Panthera tigris tigris,26.112663,76.540018,
2850749130,Panthera tigris,tigris,Panthera tigris tigris,26.082815,76.568569,
2850747204,Panthera tigris,tigris,Panthera tigris tigris,20.289737,79.212796,
2850741706,Panthera tigris,tigris,Panthera tigris tigris,26.075601,76.436113,
2850740874,Panthera tigris,tigris,Panthera tigris tigris,26.179837,76.537355,
2850737603,Panthera tigris,tigris,Panthera tigris tigris,20.360828,79.308927,
2850735424,Panthera tigris,tigris,Panthera tigris tigris,22.208379,80.751271,
2850731572,Panthera tigris,tigris,Panthera tigris tigris,20.214515,79.363884,
2850719343,Panthera tigris,tigris,Panthera tigris tigris,28.322341,80.492495,
2850709880,Panthera tigris,tigris,Panthera tigris tigris,26.06084,76.505806,
2850707999,Panthera tigris,tigris,Panthera tigris tigris,20.254756,79.228922,
2850705458,Panthera tigris,tigris,Panthera tigris tigris,28.362919,80.594477,
2850703792,Panthera tigris,tigris,Panthera tigris tigris,23.416145,80.954745,
2850703374,Panthera tigris,tigris,Panthera tigris tigris,26.168945,76.42639,
2850698506,Panthera tigris,tigris,Panthera tigris tigris,26.006769,76.462215,
2850691803,Panthera tigris,tigris,Panthera tigris tigris,25.959402,76.472341,
2850681051,Panthera tigris,tigris,Panthera tigris tigris,20.37635,79.373408,
2850681045,Panthera tigris,tigris,Panthera tigris tigris,20.309417,79.276437,
2850680137,Panthera tigris,tigris,Panthera tigris tigris,20.221933,79.385187,
2850678980,Panthera tigris,tigris,Panthera tigris tigris,20.352003,79.360969,
2850674116,Panthera tigris,tigris,Panthera tigris tigris,20.217989,79.251782,
2850673965,Panthera tigris,tigris,Panthera tigris tigris,26.114833,76.457146,
2850668430,Panthera tigris,tigris,Panthera tigris tigris,20.304434,79.295668,
2850668365,Panthera tigris,tigris,Panthera tigris tigris,20.396179,79.371302,
2850665774,Panthera tigris,tigris,Panthera tigris tigris,23.653857,80.801888,
2850664316,Panthera tigris,tigris,Panthera tigris tigris,21.205863,79.847076,
2850660794,Panthera tigris,tigris,Panthera tigris tigris,25.85343,76.532525,
2850660387,Panthera tigris,tigris,Panthera tigris tigris,20.865442,79.220725,
2850659336,Panthera tigris,tigris,Panthera tigris tigris,26.002435,76.583409,
2850643877,Panthera tigris,tigris,Panthera tigris tigris,20.246119,79.285604,
2850643401,Panthera tigris,tigris,Panthera tigris tigris,26.023677,76.547001,
2850642437,Panthera tigris,tigris,Panthera tigris tigris,26.101857,76.468994,
2850630360,Panthera tigris,tigris,Panthera tigris tigris,26.044208,76.486017,
2850619023,Panthera tigris,tigris,Panthera tigris tigris,26.070984,76.423109,
2850617940,Panthera tigris,tigris,Panthera tigris tigris,11.647809,76.459604,
2850599187,Panthera tigris,tigris,Panthera tigris tigris,26.071713,76.466188,
2850567993,Panthera tigris,tigris,Panthera tigris tigris,26.625514,93.391121,
2850549047,Panthera tigris,tigris,Panthera tigris tigris,20.357617,79.217384,
2850540002,Panthera tigris,tigris,Panthera tigris tigris,26.008359,76.566963,
2826544133,Panthera tigris,tigris,Panthera tigris tigris,23.660285,81.16964,
2826529199,Panthera tigris,tigris,Panthera tigris tigris,22.311913,80.601818,
2826528221,Panthera tigris,tigris,Panthera tigris tigris,22.269101,80.706478,
2826526167,Panthera tigris,tigris,Panthera tigris tigris,23.789095,81.146955,
2826526166,Panthera tigris,tigris,Panthera tigris tigris,23.753334,81.086119,
2826524143,Panthera tigris,tigris,Panthera tigris tigris,22.297487,80.677088,
2826523872,Panthera tigris,tigris,Panthera tigris tigris,22.299296,80.738112,
2826520547,Panthera tigris,tigris,Panthera tigris tigris,22.278168,80.636824,
2826515111,Panthera tigris,tigris,Panthera tigris tigris,23.662295,81.070504,
2826506203,Panthera tigris,tigris,Panthera tigris tigris,22.376207,80.701628,
2826491834,Panthera tigris,tigris,Panthera tigris tigris,22.238769,80.683781,
2826486851,Panthera tigris,tigris,Panthera tigris tigris,22.324401,80.748793,
2826475218,Panthera tigris,tigris,Panthera tigris tigris,23.68056,81.13731,
2826469594,Panthera tigris,tigris,Panthera tigris tigris,22.213809,80.633951,
2826468244,Panthera tigris,tigris,Panthera tigris tigris,23.620756,81.101782,
2826467599,Panthera tigris,tigris,Panthera tigris tigris,26.145268,76.436301,
2826447566,Panthera tigris,tigris,Panthera tigris tigris,22.229374,80.613466,
2826434847,Panthera tigris,tigris,Panthera tigris tigris,23.607384,81.120528,
2826430885,Panthera tigris,tigris,Panthera tigris tigris,23.755708,81.069108,
2826328652,Panthera tigris,tigris,Panthera tigris tigris,22.310438,80.676355,
2826314590,Panthera tigris,tigris,Panthera tigris tigris,23.754277,81.115133,
2826267223,Panthera tigris,tigris,Panthera tigris tigris,23.704949,81.088968,
2826256235,Panthera tigris,tigris,Panthera tigris tigris,22.315863,80.761158,
2826248273,Panthera tigris,tigris,Panthera tigris tigris,22.267107,80.778567,
2826229256,Panthera tigris,tigris,Panthera tigris tigris,22.328103,80.754447,
2826229255,Panthera tigris,tigris,Panthera tigris tigris,23.753745,81.084433,
2826223225,Panthera tigris,tigris,Panthera tigris tigris,23.677819,81.05277,
2826218299,Panthera tigris,tigris,Panthera tigris tigris,28.011489,82.084714,
2826207806,Panthera tigris,tigris,Panthera tigris tigris,28.524831,80.702283,
2826141745,Panthera tigris,tigris,Panthera tigris tigris,26.435547,93.147211,
2826140500,Panthera tigris,tigris,Panthera tigris tigris,25.969164,76.421028,
2823444705,Panthera tigris,tigris,Panthera tigris tigris,26.011586,76.443573,
2823438635,Panthera tigris,tigris,Panthera tigris tigris,26.067872,76.454841,
2823425612,Panthera tigris,tigris,Panthera tigris tigris,22.305061,80.772921,
2823121302,Panthera tigris,tigris,Panthera tigris tigris,21.876609,89.003233,
2818609363,Panthera tigris,tigris,Panthera tigris tigris,21.650199,79.347308,
2818584110,Panthera tigris,tigris,Panthera tigris tigris,21.654513,79.362427,
2818557608,Panthera tigris,tigris,Panthera tigris tigris,20.278396,79.354619,
2818539600,Panthera tigris,tigris,Panthera tigris tigris,12.111053,76.110625,
2818508372,Panthera tigris,tigris,Panthera tigris tigris,27.463535,84.444174,
2814199345,Panthera tigris,tigris,Panthera tigris tigris,29.504389,78.885001,
2814180060,Panthera tigris,tigris,Panthera tigris tigris,26.167644,76.497318,
2813960228,Panthera tigris,tigris,Panthera tigris tigris,29.401666,78.922365,
2813888799,Panthera tigris,tigris,Panthera tigris tigris,26.182272,76.205089,
2802838907,Panthera tigris,tigris,Panthera tigris tigris,20.375734,79.227143,
2802831995,Panthera tigris,tigris,Panthera tigris tigris,21.324826,79.84394,
2802763917,Panthera tigris,tigris,Panthera tigris tigris,21.362131,79.978269,
2634623325,Panthera tigris,tigris,Panthera tigris tigris,23.721088,81.087395,
2634558601,Panthera tigris,tigris,Panthera tigris tigris,26.149192,76.47359,
2634532289,Panthera tigris,tigris,Panthera tigris tigris,23.72147,81.038335,
2634464499,Panthera tigris,tigris,Panthera tigris tigris,26.003569,76.476695,
2633967879,Panthera tigris,tigris,Panthera tigris tigris,26.114199,76.432929,
2626589941,Panthera tigris,tigris,Panthera tigris tigris,29.423024,78.702587,
